Unique identifier	Getty AAT type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
highlightsGraffiti	concept	highlights (graffiti)	outlinesGraffiti	Concept	componentPart	highlight (graffiti) $$ highlight $$ highlights	"Highlights' in the context of graffiti refer to the use of light-coloured (often white) lines or star-shaped marks that are added to a graffito to create the illusion of light reflecting off the surface. These elements are strategically placed on the letters or designs to mimic the effect of sunlight or artificial light hitting specific points, thereby enhancing the three-dimensional effect of the graffito.
Highlights are a key technique in graffiti, often used in conjunction with shadows to enhance the depth and dimensionality of the work. They add a level of complexity and realism to the graffiti, showcasing the graffitist's skill in manipulating visual elements to create a sense of depth and volume. By mimicking the effects of light and shadow, highlights contribute to the visual impact of the graffiti, transforming flat designs into dynamic, three-dimensional forms that capture the viewer's attention."	Jona Schlegel $$ Stefan Worgin			"""The technique of adding white or light media on a medium-toned or dark ground. The term is usually reserved for drawing, but painting and other image-making processes may also employ highlighting."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Highlighting’)"			http://vocab.getty.edu/page/aat/300389864	closeMatch	https://www.wikidata.org/wiki/Q2412125	closeMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Highlighting’, 25 January 2021. http://vocab.getty.edu/page/aat/300389864.	
informationFormComponents	concept	information form components	componentsBySpecificContextGT	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Parts or components of information forms."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Form Components’)"			http://vocab.getty.edu/page/aat/300201262	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Form Components’, 25 January 2021. http://vocab.getty.edu/page/aat/300201262.	
InformationFormsHN	hierarchy name	Information Forms <hierarchy name>	VisualAndVerbalCommunicationHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Information Forms hierarchy contains terms for textual, graphic, and physical objects having the primary and original purpose to record or convey specific information. Titles of particular texts are excluded, except where they are used to refer to a broad category of works (e.g., ""Bibles"" is included, but ""Tale of Two Cities"" is excluded). Relation to other hierarchies: Terms for typeface and scripts (e.g., ""Caroline minuscule"") are in the Components hierarchy, ""information forms components"" having a non-preferred partitive parent here. Terms for two- and three-dimensional works created to communicate primarily visually, especially to communicate expressive meaning rather than specific information, appear in the Visual Works hierarchy (e.g., ""still lifes""). Types of prints used primarily to reproduce documents and technical drawings (e.g., ""blueprints (reprographic copies)"") which, though produced by light-sensitive processes are not considered photographs, appear here, while photographs and photomechanical prints are found in Visual Works. Terms for many types of financial documents are found here, while items that specifically are used in the exchange of goods or services or in the settlement of debts are found in the Exchange Media hierarchy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Forms (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300026029	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Forms (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300026029.	
informationFormsObjects	concept	information forms (objects)	InformationFormsHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Types of textual, graphic, electronic, or physical items having the primary and original purpose to record or convey specific information. For forms in the sense of a document having blanks to be filled in, use ""forms (documents)."""" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Forms (Objects)’)"			http://vocab.getty.edu/page/aat/300220751	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Forms (Objects)’, 25 January 2021. http://vocab.getty.edu/page/aat/300220751.	
informationTechnology	concept	information technology	technologyGeneralAssociatedConcept	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The application of microelectronics, computers, telecommunication, and other automation methods or technology to the organization, storage, retrieval, and dissemination of information, including aural, pictorial, textual, and numeric information."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Technology’)"			http://vocab.getty.edu/page/aat/300128218	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Information Technology’, 25 January 2021. http://vocab.getty.edu/page/aat/300128218.	
inlinesGraffiti	concept	inlines (graffiti)	outlinesGraffiti	Concept	componentPart	inline (graffiti)	Inlines' in the context of graffiti refers to a specific style of graffiti writing characterised by the use of clean, sharp, and well-defined letters. These letters are typically created using a single continuous line, resulting in a streamlined and cohesive appearance. The inline style emphasises legibility and clarity, making it easier for viewers to read the words or messages in the graffiti. This style stands in contrast to more complex or abstract graffiti styles, offering a straightforward and accessible form of expression. Inlines contribute to the diversity of the graffiti-scape, showcasing the range of techniques and styles that graffitists employ in their work. They demonstrate that graffiti can be as much about clear communication as it is about artistic expression.	Jona Schlegel $$ Stefan Worgin											
kingsGraffiti	concept	kings (graffiti)	peopleByStateOrConditionGT	Concept	communityTerm	king (graffiti)	Kings' in the context of graffiti refers to graffitists who have earned a high level of respect and recognition within the graffiti community. The title of 'King' is not self-proclaimed but is bestowed by the community in acknowledgment of the graffitist's skill, creativity, and contribution to the graffiti-scape. A 'King' often signifies their status by adding a halo or crown to their tag or other graffiti writings. This visual marker serves as a testament to their standing within the community and their achievement in 'getting up', or becoming well-known and respected. The concept of 'Kings' underscores the social and hierarchical aspects of the graffiti culture. It highlights the community's role in recognising and honouring the talents of its members and the importance of respect and reputation within this sphere.	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300025481	broadMatch	https://www.wikidata.org/wiki/Q12097	broadMatch		
letterformComponents	concept	letterform components	letterforms	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Parts or components of letterforms."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letterform Components’)"			http://vocab.getty.edu/page/aat/300266482	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letterform Components’, 25 January 2021. http://vocab.getty.edu/page/aat/300266482.	
letterforms	concept	letterforms	lettersSigns	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The design, graphic forms, or shapes of letters or symbols, either as written by hand or as represented in a particular type font. Referenced most often in the fields of typography, paleography, calligraphy, and epigraphy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letterforms’)"			http://vocab.getty.edu/page/aat/300387689	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letterforms’, 25 January 2021. http://vocab.getty.edu/page/aat/300387689.	
letterShadowsGraffiti	concept	letter shadows (graffiti)	outlinesGraffiti	Concept		shadows, letter (graffiti) $$ letter shadow (graffiti)	Letter Shadows' in the context of graffiti refers to the technique of adding shadows to the letters or characters of a graffito to create a sense of depth and three-dimensionality. This design element is often used in conjunction with highlights to enhance the visual impact of the graffiti and to give the text or characters a more realistic, three-dimensional appearance. The placement of letter shadows is typically opposite to the direction of the highlights, mimicking the way light and shadow interact in a three-dimensional space. This technique showcases the graffitist's understanding of light and perspective and their ability to manipulate these elements to create a more dynamic and visually engaging work. Letter shadows contribute to the complexity and visual appeal of the graffiti, transforming flat letters or characters into three-dimensional forms that capture the viewer's attention.	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300056036 	closeMatch				
lettersSigns	concept	letters (signs)	phoneticSigns	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Conventional symbols, usually written or printed, representing alone or in combination simple or complex speech sounds and constituting the units of an alphabet."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letters (Signs)’)"			http://vocab.getty.edu/page/aat/300055055	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Letters (Signs)’, 25 January 2021. http://vocab.getty.edu/page/aat/300055055.	
mechanicalStyleGraffiti	concept	mechanical style (graffiti)	stylesWriting	Concept	style	style, mechanical	"The ""mechanical style"" in the context of graffiti refers to a specific style of graffiti writing that incorporates mechanical elements into the design of the letters. This style is characterised by the use of geometric shapes, sharp angles, and elements that mimic the aesthetics of machinery or technology. The mechanical style showcases the graffitist's ability to integrate complex and unconventional design elements into their work, resulting in graffiti that has a distinct, industrial feel. The letters in this style often appear as if they are constructed from mechanical parts, giving the graffiti a sense of structure and precision."	Jona Schlegel $$ Stefan Worgin											
memorialsGraffiti	concept	memorials (graffiti)	graffitiConcepts	Concept	conceptIdea	memorial (graffiti)	"""Memorials"" in the context of graffiti can be understood in two distinct but related ways. Firstly, a memorial can be a graffito created specifically to remember or honour an individual. This is similar to a dedication, where the graffito serves as a tribute to a person, often someone who has passed away or is greatly respected within the community. Secondly, a memorial can also refer to a graffito that is actively preserved by the community in memory of a graffitist who has passed away, particularly if they died prematurely. In this case, the graffito itself becomes a symbol of remembrance, a testament to the graffitist's impact on the community and their contribution to the graffiti-scape. 
It's important to note that the purpose of a graffito can change over time. A work that was not initially created as a memorial may become one of the graffitist it's associated with passes away. Similarly, a memorial graffito may gain new layers of meaning as it is preserved and interacted with by the community over time."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300006956	broadMatch	https://www.wikidata.org/wiki/Q5003624	broadMatch		
messagesGraffiti	concept	messages (graffiti)	graffitiConcepts	Concept	componentPart	message (graffiti)	"""Messages"" in the context of graffiti can have dual meanings. Firstly, it can refer to a specific part of the graffito that is intended to communicate a direct message to a particular audience. This could be a fellow graffitist, a graffiti crew, or the general public. These messages can be explicit, such as a dedication or a statement, or they can be more subtle, requiring knowledge of the graffiti community's codes and conventions to understand.
Secondly, the term ""message"" can also refer to the overall meaning or statement that the graffito as a whole is intended to convey. This could be a political statement, a social commentary, or an expression of the graffitist's identity or emotions. The interpretation of this message can vary greatly depending on the viewer's perspective and context. For example, the creator of the graffito may have a specific intention or message in mind, but this may be interpreted differently by an observer or a researcher studying the graffiti."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q628523	broadMatch		
minimalismGraffiti	concept	minimalism (graffiti)	stylesStreetArt	Concept	style		"""Minimalism"" in the context of graffiti refers to a style of graffiti writing that draws inspiration from the Minimalist art movement. This style is characterised by its simplicity, use of basic shapes and forms, and restrained colour palette. Minimalist graffiti emphasises the essentials of graffiti writing, often focusing on the structure and form of the letters rather than intricate designs or embellishments. It showcases the graffitist's ability to convey meaning and create impact through simplicity and reduction.
While Minimalist graffiti is inspired by the Minimalist art movement, it is not the same. It exists within the unique cultural and aesthetic context of graffiti, and it reflects the graffitist's interpretation of Minimalist principles rather than a direct application of them."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300065758	broadMatch	https://www.wikidata.org/wiki/Q173436	broadMatch		
mirroredGraffiti	concept	mirrored (graffiti)	graffitiConcepts	Concept	style		"""Mirrored"" in the context of graffiti refers to a specific style of graffiti writing where the letters are designed in such a way that a mirror is needed to read the graffito correctly. This style involves creating a mirror image of the letters, effectively reversing their orientation and making them appear backwards when viewed normally. The mirrored style adds a layer of complexity and intrigue to the graffiti, challenging viewers to engage more deeply with the work in order to decipher its content. It showcases the graffitist's creativity and skill in manipulating letter forms and their ability to challenge conventional reading processes."	Jona Schlegel $$ Stefan Worgin											
mosaicsGraffiti	concept	mosaics (graffiti)	streetArtGraffiti	Concept	graffitoType	mosaic (graffiti)	"""Mosaic"" in the context of graffiti refers to a specific type of graffito, often associated with street art, that is created using small pieces of materials such as tiles, glass, or mirrors. These pieces are meticulously arranged and attached to a surface to form a larger image or design. The mosaic style is characterised by its additive technique, where the final image is built up piece by piece. Each individual tile or fragment contributes to the overall design, creating a complex and detailed work that reveals its full impact when viewed from a distance.
Mosaic graffiti offers a unique aesthetic within the graffiti-scape, showcasing the graffitist's patience, precision, and ability to work with a variety of materials. It also demonstrates the potential for graffiti to engage with traditional art forms and techniques, reinterpreting them within the context of public, communal, and even private spaces."	Jona Schlegel $$ Stefan Worgin			"""Images or patterns composed of small, regularly shaped pieces of durable material, usually stone or colored glass. Distinguished from ""opus sectile,"" which is composed of individually shaped pieces of durable material, usually stone or glass, which conform to the design or pattern."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mosaics (Visual Works)’)"			http://vocab.getty.edu/page/aat/300015342	exactMatch	https://www.wikidata.org/wiki/Q133067	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mosaics (Visual Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300015342.	
mosaicTechnique	concept	mosaic (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity		This concept is taken from the Getty AAT.	Jona Schlegel			"""A method of decorating surfaces with patterns or pictures composed of small, regularly-shaped pieces of colored durable material, such as stone or glass."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mosaic (Process)’)"			http://vocab.getty.edu/page/aat/300138684	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mosaic (Process)’, 25 January 2021. http://vocab.getty.edu/page/aat/300138684.	
motifs	concept	motifs	designElementsAttributes	Concept		motif	This concept is taken from the Getty AAT.	Jona Schlegel			"""Distinct or separable design elements, usually decorative, whether occurring singly as individual shapes. Distinguished from ""patterns (design elements);"" which are ornamental designs composed of repeated or combined motifs."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Motifs’)"			http://vocab.getty.edu/page/aat/300009700	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Motifs’, 25 January 2021. http://vocab.getty.edu/page/aat/300009700.	
muralsStreetArt	concept	murals (street art)	streetArtGraffiti	Concept	graffitoType	mural (street art)	"""Murals (street art)"" in the context of street art refers to large-scale works that cover a significant portion, if not all, of a wall or surface. These works are often site-specific, designed to interact with the architecture and environment in which they are placed. Murals in street art are typically characterised by their grand scale and public visibility. They often engage with the local community, reflecting or commenting on social, cultural, or political themes relevant to the area. Unlike traditional murals, which may be commissioned and planned in advance, street art murals can be spontaneous and unsanctioned, reflecting the dynamic and often transient nature of the street art scene. However, they can also be commissioned works, reflecting a growing recognition of street art as a legitimate and valued form of public art."	Jona Schlegel $$ Stefan Worgin			"""Painted decorations or scenes that dominate a wall (or ceiling) surface. For works in other media that dominate a wall (or ceiling), use the more general term ""murals (any medium)""."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mural Paintings (Visual Works)’)"			http://vocab.getty.edu/page/aat/300033644	exactMatch	https://www.wikidata.org/wiki/Q219423	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mural Paintings (Visual Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300033644.	
muralsWriting	concept	murals (writing)	writingGraffiti	Concept	graffitoType	mural (writing)	"""Murals (writing)"" in the context of graffiti writing refers to large-scale works that cover a significant portion, if not all, of a wall or surface. Unlike street art murals, which are primarily focused on figurative elements or objects, murals in graffiti writing are predominantly text-focused. These works often feature stylised lettering and typography, showcasing the graffitist's skill in creating complex, large-scale text designs. The text in these murals can range from tags and pseudonyms to phrases, messages, or even full sentences. Murals in graffiti writing can be spontaneous or planned, and like other forms of graffiti, they can be unsanctioned or commissioned. They are a prominent feature of the graffiti-scape, reflecting the importance of text and lettering in graffiti culture."	Jona Schlegel $$ Stefan Worgin			"""Painted decorations or scenes that dominate a wall (or ceiling) surface. For works in other media that dominate a wall (or ceiling), use the more general term ""murals (any medium)""."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mural Paintings (Visual Works)’)"			http://vocab.getty.edu/page/aat/300033645	exactMatch	https://www.wikidata.org/wiki/Q219424	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Mural Paintings (Visual Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300033644.	
naturalElementMotifs	concept	natural element motifs	motifs	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Decorative design motifs that contain elements from nature."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Natural Element Motifs’)"			http://vocab.getty.edu/page/aat/300009907	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Natural Element Motifs’, 25 January 2021. http://vocab.getty.edu/page/aat/300009907.	
ObjectsF	facet	Objects <facet>		Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Includes terms for discrete tangible or visible things that are inanimate and produced by human endeavor, that is, that are either fabricated or given form by human activity. These range, in physical form, from built works to images and written documents. They range in purpose from utilitarian to the aesthetic. Also included are landscape features that provide the context for the built environment paintings, amphorae, facades, cathedrals, Brewster chairs, gardens."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Objects Facet’)"			http://vocab.getty.edu/page/aat/300264092	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Objects Facet’, 25 January 2021. http://vocab.getty.edu/page/aat/300264092.	
openSpaces	concept	open spaces	OpenSpacesAndSiteElementsHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Spaces in urban environments designed as passages for pedestrians, and as social spaces, not as clearly delimited as parks, but sharing some of the same characteristics. Often these function as utilitarian connecting spaces between buildings, or simply as an open area designated by a municipal authority, but without the amenities or formality of a park."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Open Spaces’)"			http://vocab.getty.edu/page/aat/300008072	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Open Spaces’, 25 January 2021. http://vocab.getty.edu/page/aat/300008072.	
OpenSpacesAndSiteElementsHN	hierarchy name	Open Spaces and Site Elements <hierarchy name>	BuiltEnvironmentHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Open Spaces and Site Elements hierarchy contains terms for open spaces that are relatively coherent areas created and modified by many of the same concepts and processes that shape buildings and other structures (e.g.g., ""gardens"", ""plazas""), as well as descriptors for discrete manufactured or manipulated features found in or around open spaces, other cultural landscapes, or natural landscapes (e.g.g., ""flagpoles"", ""windbreaks""). Relation to Other Hierarchies: In the Components hierarchy are found terms for the structural systems and individual building parts (e.g.g., ""balloon frames"", ""garage doors"") that make up single built works as well as descriptors for rooms, spaces, and other large building subdivisions (e.g., ""kitchens""), and descriptors for the infrastructural system components found throughout the landscape (e.g.g., ""water mains"", ""overpasses""). Terms for the human-produced features of open spaces and cultural landscapes (e.g.g., ""lawns"", ""berms"") are found here, while descriptors for types of natural landscape features and their components (e.g.g., ""cliffs"", ""rivers"") are found in the Settlements and Landscapes hierarchy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Open Spaces and Site Elements (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300139081	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Open Spaces and Site Elements (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300139081.	
openSpacesByLocationOrContextGT	guide term	open spaces by location or context <guide term>	openSpaces	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300008337	exactMatch				
organicStyleGraffiti	concept	organic style (graffiti)	stylesWriting	Concept	style	style, organic 	"The ""organic style"" in the context of graffiti refers to a specific style of graffiti writing that is characterised by its natural, flowing forms and shapes. Drawing inspiration from nature, this style often features elements that mimic the organic patterns and structures found in the natural world, such as the branching of trees or the growth patterns of plants. Organic style graffiti is often marked by smooth, flowing lines and forms, creating a sense of movement and growth. The designs may blend harmoniously with their surroundings, particularly when placed in natural environments, reflecting the graffitist's sensitivity to the context in which their work is placed."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300191632 	broadMatch				
outlinesGraffiti	concept	outlines (graffiti)	letterformComponents	Concept	componentPart	outline (graffiti)	"""Outlines"" in the context of graffiti refers to the initial lines or contours that a graffitist uses to define the shape and structure of their work. These lines serve as a guide for the graffitist, helping them to plan the layout and composition of the graffiti before adding colour, shading, and other details. Outlines are a crucial part of the graffiti creation process, providing the foundation upon which the rest of the work is built. They are typically drawn using a contrasting colour to the fill-ins, helping to distinguish the individual elements of the graffiti and enhancing its visual impact. Outlines can vary in thickness and style, reflecting the graffitist's unique approach and the specific requirements of the work. They contribute to the overall aesthetic of the graffiti, playing a key role in defining its form and structure."	Jona Schlegel $$ Stefan Worgin											
paintStencilTechnique	concept	paint stencil (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity	stencil, paint (technique)	"The ""paint stencil"" technique in graffiti refers to a method where a design, pattern, or image is cut out of thin material like paper, cardboard, or plastic to create a stencil. This stencil is then used as a guide to apply paint onto a surface, creating a reproducible and precise image. This technique is particularly popular in graffiti due to its simplicity, speed, and ability to create identical symbols, letters, or shapes.
In the context of graffiti, the paint stencil technique is often used to create a specific type of graffiti known as stencil graffiti. This form of graffiti is characterized by its sharp, well-defined images that can be quickly and easily reproduced, making it a popular choice for graffitists who want to disseminate their work widely and rapidly. Moreover, the paint stencil technique allows for a high degree of creativity. Graffitists can use multiple layers of paint or aerosol to create the illusion of depth, and the stencils themselves can range from simple to complex designs. This flexibility, combined with the technique's inherent speed and reproducibility, has made the paint stencil technique a mainstay in the world of graffiti."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300428775 	exactMatch				
paperStyleGraffiti	concept	paper style (graffiti)	stylesWriting	Concept	style	style, paper	"""Paper style"" in the context of graffiti refers to a specific style of graffiti writing that is characterised by its resemblance to folded or creased paper. This style often features letters or shapes that mimic the sharp angles, folds, and creases that one would find on a piece of folded paper. The paper style is a testament to the graffitist's ability to create a sense of depth and three-dimensionality on a flat surface. It requires a high level of skill and precision, as the graffitist must carefully control the placement of lines and shading to create the illusion of folded paper."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q11472	relatedMatch		
pasteUpsGraffiti	concept	paste ups (graffiti)	streetArtGraffiti	Concept	graffitoType	paste up (graffiti)	"""Paste-ups"" in graffiti refer to creations that are prepared in private and quickly applied in public spaces. They are drawn, applied, or printed onto material that has an adhesive backing. This allows the graffitist to create intricate designs or messages in a controlled environment and then rapidly deploy them in the public sphere. This technique is often used for larger pieces that would be time-consuming to create directly on the surface in a public space. The use of paste-ups broadens the range of possible locations for graffiti, as they can be applied to surfaces that might not be conducive to traditional spray paint graffiti."	Jona Schlegel $$ Stefan Worgin			"""Graffiti art comprising images, usually on paper, affixed to surfaces using a wheat flour mixture."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Wheatpasting (Graffiti Art)’)"			http://vocab.getty.edu/page/aat/300410376 	exactMatch	https://www.wikidata.org/wiki/Q484196	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Wheatpasting (Graffiti Art)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410376.	
peopleAgents	concept	people (agents)	PeopleHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Members of the species Homo sapiens and their close extinct relatives, as distinguished from other animals, spirits, or other entities."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘People (Agents)’)"			http://vocab.getty.edu/page/aat/300024979	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘People (Agents)’, 25 January 2021. http://vocab.getty.edu/page/aat/300024979.	
peopleByOccupationGT	guide term	people by occupation <guide term>	peopleAgents	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300024980	exactMatch				
peopleByStateOrConditionGT	guide term	people by state or condition <guide term>	peopleAgents	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300025912	exactMatch				
PeopleHN	hierarchy name	People <hierarchy name>	AgentsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The People hierarchy contains terms for the roles played by or condition of individual people (e.g., ""painter"") and multiple people (e.g., ""painters""), but not organizations. Included are roles for people's occupations or activities (e.g., ""conservators""), by biological or social roles (e.g., ""parents ""), and by other characteristics such as adherence to a particular belief (e.g., ""pacifists "") or social or physical condition (e.g., ""rulers""). Also included are terms for roles of multiple people defined by activity (e.g., ""steel bands "") and social, mental, or physical condition (e.g., ""poor""). Relation to other hierarchies: Terms for organized groups of people (e.g., ""firms;"" ""nations"") are found in the Organizations hierarchy. Terms for branches of learning, areas of specialization, and professional fields are found in the Disciplines hierarchy (e.g., ""mathematics;"" ""museology"")."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘People (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300024978	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘People (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300024978.	
peopleInTheArtsAndRelatedOccupationsGT	guide term	people in the arts and related occupations <guide term>	peopleInTheHumanitiesGT	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300168331	exactMatch				
peopleInTheHumanitiesGT	guide term	people in the humanities <guide term>	peopleByOccupationGT	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300025485	exactMatch				
phoneticSigns	concept	phonetic signs	scriptAndTypeSigns	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Individual written signs that correspond to separate speech sounds or to syllables in a spoken language."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Phonetic Signs’)"			http://vocab.getty.edu/page/aat/300194779	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Phonetic Signs’, 25 January 2021. https://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300194779.	
photorealisticStyleGraffiti	concept	photorealistic style (graffiti)	stylesStreetArt	Concept	style	style, photorealistic	"The ""Photorealistic Style"" in graffiti refers to a genre of art that is characterized by the meticulous and precise replication of a scene or object as realistically as possible, often to the point where it resembles a high-resolution photograph. This style is often associated with street art and art itself, as it involves drawing something that looks as realistic as a picture or photograph. Photorealism originated as an art movement in the late 1960s and early 1970s, where artists would study a photograph and then attempt to reproduce the image as realistically as possible in another medium. In the context of graffiti, the photorealistic style is often used to create intricate and lifelike representations of people, objects, or scenes on walls or other large surfaces. The photorealistic style requires a high level of technical skill and artistic prowess, as it involves accurately capturing the minute details, textures, lighting, and colours of the subject matter. This style of graffiti often has a powerful visual impact and can transform urban environments into immersive works of art."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300022201	closeMatch	https://www.wikidata.org/wiki/Q939559	relatedMatch		
physicalActivitiesBySpecificContextGT	guide term	physical activities by specific context <guide term>	PhysicalAndMentalActivitiesHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300239444	exactMatch				
PhysicalAndMentalActivitiesHN	hierarchy name	Physical and Mental Activities <hierarchy name>	ActivitiesF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Physical and Mental Activities hierarchy contains terms for activities ranging from single actions to complex sets of physical and mental pursuits. Mental activities are those performed entirely or primarily with the brain (e.g., ""meditation;"" ""studying""). Physical activities are those performed with other parts of the body or the body as a whole (e.g., ""ballooning;"" ""dancing (activity)""). Relation to other hierarchies: Terms for processes performed physically on or with materials or objects (e.g., ""carving"") are in the Processes and Techniques hierarchy. Terms for organizational, administrative, or intellectual activities conducted to achieve specific purposes (e.g., ""analysis"") are in the Functions hierarchy. Terms denoting occasions (e.g., ""coronations;"" ""races"") appear in the Events hierarchy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Physical and Mental Activities (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300222468	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Physical and Mental Activities (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300222468.	
